WKT,fid,gid,streetname,note
"LINESTRING (652597.46262639 6862637.7630855,652623.006737002 6862702.54753305)","5870","5870",R BEAUBOURG,
"LINESTRING (652627.098839279 6862713.51299712,652730.737145809 6862670.64252248,652744.677137109 6862663.52545088,652817.317980617 6862620.91545158)","5874","5874",R MICHEL LE COMTE,
"LINESTRING (652627.098839279 6862713.51299712,652648.576085597 6862770.33176015)","5875","5875",R BEAUBOURG,
"LINESTRING (652514.024261116 6862823.4618508,652515.082995782 6862830.45286829)","5876","5876",R SAINT-MARTIN,
"LINESTRING (652858.920019611 6862811.56324346,652917.679761019 6862783.06964028)","5877","5877",R DES GRAVILLIERS,
"LINESTRING (652711.033320802 6862943.80475024,652728.426929653 6862990.6580391)","5975","5976",R BEAUBOURG,
"LINESTRING (652124.727298431 6863263.72797348,652196.965190484 6863292.12090963)","5997","5998",R DU NIL,
"LINESTRING (652214.299848237 6863331.97495691,652297.604145462 6863368.27482153)","6038","6039",R D'ABOUKIR,
"LINESTRING (652297.604145462 6863368.27482153,652432.106155801 6863428.14428661)","6040","6041",R D'ABOUKIR,
"LINESTRING (652277.966935835 6863411.43947149,652297.604145462 6863368.27482153)","6043","6044",R SAINT-PHILIPPE,
"LINESTRING (652147.498305735 6863355.53593207,652184.604599575 6863368.2241267,652223.744345164 6863384.89519814,652262.900902478 6863403.5661031)","6045","6046",R DE CLERY,
"LINESTRING (652312.989630813 6863295.14615282,652304.839048734 6863277.21478222)","6046","6047",PAS DU CAIRE,
"LINESTRING (652187.192774677 6863319.20277778,652214.299848237 6863331.97495691)","6054","6055",R D'ABOUKIR,
"LINESTRING (652126.970719428 6863292.70888037,652187.192774677 6863319.20277778)","6055","6056",R D'ABOUKIR,
"LINESTRING (652399.747653209 6863147.41854821,652404.85647298 6863160.37549839)","6056","6057",R SAINT-DENIS,
"LINESTRING (652404.85647298 6863160.37549839,652409.965293837 6863173.33244975)","6058","6059",R SAINT-DENIS,
"LINESTRING (652409.965293837 6863173.33244975,652417.141169605 6863194.27196011)","6059","6060",R SAINT-DENIS,
"LINESTRING (652406.528521197 6863240.36071546,652428.451157937 6863231.17659338)","6060","6061",R DU CAIRE,
"LINESTRING (652417.141169605 6863194.27196011,652428.451157937 6863231.17659338)","6062","6063",R SAINT-DENIS,
"LINESTRING (652412.712881153 6863262.30856008,652435.652245814 6863255.11587475)","6063","6064",PAS DU CAIRE,
"LINESTRING (652428.451157937 6863231.17659338,652435.652245814 6863255.11587475)","6064","6065",R SAINT-DENIS,
"LINESTRING (652435.652245814 6863255.11587475,652439.777956857 6863270.08107852)","6065","6066",R SAINT-DENIS,
"LINESTRING (652439.777956857 6863270.08107852,652441.912228899 6863286.06300877)","6066","6067",R SAINT-DENIS,
"LINESTRING (652341.458458396 6862993.90987225,652338.383093381 6862984.93580904)","6074","6075",R SAINT-DENIS,
"LINESTRING (652350.718160732 6863024.83174052,652341.458458396 6862993.90987225)","6075","6076",R SAINT-DENIS,
